sampleID,Treatment,TimePoint,DNA_RNA,vegetation,pH,index
s26,control,August,RNA,0,8,0.429063222241306
s24,warming,August,DNA,6,5,0.89435178951953
s22,control,August,DNA,6,8,0.664993532640546
s10,warming,July,RNA,10,5,0.972224465178691
s14,control,July,RNA,4,6,0.472930465015457
s4,control,August,RNA,0,5,0.601849238663406
s30,warming,June,RNA,5,7,0.273307268628977
s27,control,July,DNA,3,8,0.420893822108392
s25,control,July,RNA,3,7,0.589550227973099
s13,control,July,RNA,9,5,0.116253152503335
s18,warming,August,DNA,4,6,0.0512528112742963
s17,warming,June,RNA,1,5,0.682133918624058
s32,control,June,RNA,7,4,0.268361310354942
s12,control,June,RNA,3,4,0.874110596148428
s3,control,July,RNA,7,5,0.122193568720791
s28,control,July,DNA,0,5,0.329210342288964
s2,control,June,RNA,9,5,0.86186027761703
s20,warming,July,RNA,10,8,0.921673854465008
s8,warming,July,RNA,9,8,0.779182024481729
s19,control,July,RNA,6,7,0.426952003053873
s7,warming,June,RNA,2,8,0.1802237658483
s11,warming,August,DNA,8,4,0.567993713376304
s21,warming,July,RNA,3,7,0.375874708107327
s16,warming,June,RNA,6,6,0.182978255756887
s5,warming,July,DNA,2,5,0.062723945567876
s29,control,August,RNA,7,5,0.734874613864641
s15,control,June,RNA,9,6,0.480776535096194
s6,warming,August,DNA,1,5,0.959429955065782
s9,control,June,DNA,9,6,0.648110327461297
s1,control,June,RNA,6,6,0.819895378826348
s31,warming,June,RNA,7,6,0.976840445790102
s23,control,June,DNA,2,4,0.21399232991279
